,음식코드명
"유채나물,간장,소금",63
"감자볶음,풋고추",63
"커피,카페모카,아이스",63
현미밥,63
멜론,62
"꽁치조림,김치",62
"방풍나물,간장,소금",62
"참치,통조림",62
"빵,식빵,토스트",62
임연수구이,62
"콩나물무침,고추",62
"떡,빙떡",61
꽈배기,61
햄구이,61
"버섯구이,새송이",61
떡강정,61
어묵,61
"라면,만두",61
"된장국,해물",60
가지전,60
"알탕,해물",60
새송이버섯전,60
"샌드위치,채소",60
깻잎전,60
"미나리무침,초무침",59
"배추나물,간장,소금",59
"김치전,해물",59
감자밥,58
기장밥,58
"떡볶이,라면",58
"냉국,미역,오이,고추",58
굴전,58
꿀,57
"볶음밥,김치,소고기",57
당근,57
"우동,인스턴트",57
카라멜,57
마늘쫑장아찌무침,56
"겉절이,참나물,고춧가루",56
"잡곡밥,서리태",56
호박잎,56
"닭고기,부산물,모래주머니",56
"시금치나물,고춧가루제외",56
도미구이,56
율무차,55
"돼지고기볶음,버섯",55
홍차,55
"떡볶이,소고기",54
치즈스틱,54
숙주미나리나물,54
삼선짜장,54
"조기구이,양념,조기조림",54
무말랭이장아찌,54
쌀과자,53
어묵국물,53
생강차,53
레모네이드,53
"빵,모닝빵",53
고등어튀김,52
"순두부찌개,김치,돼지고기",52
"탕수육,닭고기",52
"떡,가래떡",52
"볶음밥,모듬",52
"미나리나물,고추장",52
"멸치볶음,마늘쫑",52
유산슬,52
"떡,절편,감자떡",52
포도주스,52
매실액,52
파인애플,51
꽁치구이,51
"감자볶음,베이컨",51
라볶이,51
"닭튀김,날개",50
고들빼기김치,50
수삼무침,50
"된장국,고디(다슬기)",50
"겉절이,양파",50
"잡채,어묵",50
"골뱅이무침,채소,소면",50
얼갈이김치,50
어묵튀김,50
콩국,50
깨,50
"비빔밥,참치",50
김,50
배추전,49
체리,49
"닭튀김,다리",49
"배추나물,된장",49
"죽,오리죽",49
코코아,49
샐러드드레싱,49
버섯튀김,49
소고기찜,49
"칼국수,닭",48
문어무침,48
"초밥,장어",48
"동태구이,양념장",48
"볶음밥,참치",48
"죽,팥죽",48
"육개장,돼지고기",47
"된장국,배추김치",47
"된장찌개,냉이",47
"멸치,마른것",46
콩나물무침,46
닭날개구이,46
호박,46
오징어,46
팥밥,46
양배추김치,45
"지리,대구",45
해물누룽지탕,45
"샐러드,코올슬로우",45
환타,45
"죽,참치죽",45
굴무침,45
맛살전,44
"열무나물,된장",44
"미나리나물,미나리만",44
"떡,시루떡",44
고구마밥,44
북어조림,44
카레라이스,44
"돼지고기가공품,런천미트",43
고추장볶음,43
"떡,백설기",42
"샌드위치,참치",42
"전골,국수전골",42
건새우볶음,42
굴비구이,42
"칼국수,소고기",41
"죽,쌀죽(흰죽)",41
매실(우메보시),41
"감,곶감",41
"떡,송편",41
"라면,떡",41
"된장국,배추,조개",40
사태찜,40
초콜렛바,40
"빵,호밀빵",40
부추,40
소고기버섯전골,40
"햄버거,불고기버거",40
"비빔밥,낙지",40
"순두부,돼지고기",40
굴밥,40
콩,39
"곰탕,우거지",39
새우구이,39
"전골,낙지전골,낙지찌개",39
칠리소스,39
"광어,넙치",39
"스파게티,새우토마토",39
두부찜,39
"샐러드,단호박",38
"미역국,참치",38
부추나물,38
묵,38
"한과,강정",38
오이게맛살무침,38
"라면,김치",38
민들레(잎)무침,38
"덮밥,버섯",37
오징어포,37
"김밥,삼각",37
"된장찌개,바지락",37
피망볶음,37
"떡,모듬찰떡",37
오징어순대,36
옥수수밥,36
"흑미밥,찹쌀",36
"겉절이,양배추",36
"배추국,맑은국",36
세발나물,36
"샌드위치,소고기",36
"샌드위치,닭고기",36
고비나물,36
도우넛(링),36
설탕,36
"겉절이,치커리",35
파전,35
치킨데리야끼,35
밤밥,35
두릅,35
식초,35
허브차,35
고구마전,34
고등어찜,34
닭찜,34
찰밥,34
"빵,곰보빵(소보로빵)",34
"떡볶이,간장,소고기",34
고추다대기,34
"김밥,참치,고추",33
"스튜,소고기",33
"찐빵(호빵),국화빵",33
북어찜,33
식초음료,33
동태(명태)찜,33
들기름,33
베이컨볶음,33
"케이크,데코레이션케이크(생크림케이크)",33
꿀호떡빵,32
"무국,어묵",32
"냉국,가지",32
무청나물,32
"국밥,소고기",32
다시마,32
"죽,잡곡죽",32
문어,31
월동초무침,31
근대나물,31
포도주,31
망고주스,31
버섯찌개,31
"미역국,멸치",31
"창란젓,양념",31
"덮밥,김치",30
"옥수수,팝콘",30
"버섯볶음,표고,채소",30
"스파게티,새우크림",30
시리얼바,30
뱅어포무침,30
"전골,돼지갈비",30
"배,넥타",30
"냉면,회냉면",30
"굴무침,굴만",30
"녹두빈대떡,해물,고기",30
"녹두빈대떡,해물",30
소고기콩나물국,30
"곤드레밥,양념장",30
뻥튀기,29
"매운탕,민어",29
"된장찌개,콩나물",29
"쥐치,포",29
"콩밥,검정콩,흑미",29
고구마맛탕,29
양배추나물,28
메밀전,28
유채나물,28
"커피,카페모카,아이스,휘핑크림",28
"된장국,된장국물",28
오징어조림,28
양념치킨소스,28
가지김치,28
"칼국수,팥칼국수",28
"겉절이,참나물",28
"된장국,양배추",27
달래무침,27
삼겹살낙지볶음,27
스프,27
해장국,27
가지탕수,27
"옥수수,강냉이",27
피칸,27
